Item,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63
neostigmine,2.0991716,2.342798,4.441517,2.2436962,0.0,3.3359706,2.083309,3.1039672,3.4230714,0.0,0.0,0.0,1.8852047,3.5537865,0.0,0.0,2.478746,4.0298114,4.215024,2.1422029,0.0,0.0,0.0,1.9972228,0.0,0.7654449,0.13684416,0.0,0.0,0.0,0.0,0.0,0.0,1.6879666,0.0,0.0,1.5461789,0.0,0.0,0.0,1.3118834,2.6770885,0.0,2.1325948,0.0,2.117939,0.08150949,0.0,2.4071162,3.2068424,0.0,0.0980149,1.9567474,0.6234237,0.0,0.0,0.0,1.0492047,0.0,1.3959646,3.6706202,1.5380689,0.0,0.0
niacin,1.1488911,0.86093724,3.3799846,0.6698661,0.0,1.0787425,1.2330278,1.5092725,2.2323735,0.0,0.12208374,0.0,0.4616068,2.4375098,0.0,0.0,0.2504335,1.9750125,2.182884,0.736711,0.0,0.0,0.0,0.4702982,0.0,1.2492278,0.0,0.0,0.0,0.0,0.0,0.0,0.10058633,0.8259876,0.0,0.0,0.27648813,0.0,0.0,0.0,0.15433785,0.26389435,0.0,1.3886234,0.0,0.0,0.0,0.0,1.488404,2.3713827,0.0,0.33791214,0.20241098,0.7496623,0.0,0.0,0.0,0.12076058,0.0,0.0,0.8698527,1.3986444,0.0,0.0
nicardipine,0.0,2.6655505,1.4707536,2.9843922,0.0,2.9471796,1.5760585,0.2953736,3.1421592,2.27019,0.0,2.4678714,2.1094902,3.2269716,0.0,0.0,4.3287563,3.759012,2.8588598,1.4650791,0.0,1.83256,0.0,3.0948691,0.5611305,0.0,2.377899,0.0,0.0,0.0,0.0,0.0,0.0,1.3401387,0.0,0.0,1.5262482,0.0,0.0,0.0,2.6141205,4.8295703,0.0,1.7307055,1.9883517,4.2562633,1.9651546,0.0,1.1959612,0.30239052,0.0,1.9230542,2.23509,1.8482575,0.0,0.0,0.0,1.5017359,0.0,3.2983477,5.3192377,1.0097672,0.0,0.0
nicotine,1.7012839,1.330202,3.8837163,1.2530493,0.0,2.040949,1.4751555,2.3730102,2.6081958,0.0,0.0,0.0,1.0327445,2.901218,0.0,0.0,1.0843139,2.7315068,3.050017,1.4016701,0.0,0.0,0.0,0.9325852,0.0,1.2120908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1618513,0.0,0.0,0.7964719,0.0,0.0,0.0,0.49540985,1.0664607,0.0,1.5941395,0.0,0.713743,0.0,0.0,1.8719556,2.8278487,0.0,0.056668017,0.9009361,0.59215796,0.0,0.0,0.0,0.44253027,0.0,0.3323207,1.8787421,1.5000215,0.0,0.0
nifedipine,0.8165629,3.0839362,3.1614497,3.4222043,0.0,3.7175124,2.2259264,1.8313382,3.7934873,1.5628685,0.0,1.3625438,2.5581644,3.723785,0.0,0.0,4.0896964,4.675625,4.080537,2.036203,0.0,0.39115372,0.0,3.216889,0.1096175,0.0,1.6688144,0.0,0.0,0.0,0.0,0.0,0.0,1.7344428,0.0,0.0,1.9246681,0.0,0.0,0.0,2.4311924,4.8587,0.0,2.2064404,0.6305208,4.0410385,1.2191648,0.0,1.9206928,1.8740737,0.0,1.3257513,2.6614513,1.2962221,0.0,0.0,0.0,1.5816731,0.0,2.997429,5.541581,1.3157982,0.0,0.0
nitrazepam,1.5742422,2.950853,4.1046476,3.0740318,0.0,3.7117152,2.3757105,2.6648648,3.9162145,0.7601013,0.0,0.24202162,2.396528,3.8264265,0.0,0.0,3.4155629,4.6710114,4.490841,2.177726,0.0,0.0,0.0,2.81023,0.0,0.11679852,0.84379107,0.0,0.0,0.0,0.0,0.0,0.0,1.8633654,0.0,0.0,1.8760065,0.0,0.0,0.0,2.0023196,4.0693254,0.0,2.3613973,0.0,3.176106,0.63417006,0.0,2.3141642,2.7843347,0.0,0.8112149,2.447147,1.0215864,0.0,0.0,0.0,1.4135331,0.0,2.3132913,4.9580936,1.4934958,0.0,0.0
nitrendipine,0.676173,3.0763383,2.9619126,3.445007,0.0,3.7009072,2.1718447,1.6743512,3.7338183,1.6882492,0.0,1.5660492,2.5597537,3.6825442,0.0,0.0,4.1854706,4.631149,3.977651,2.012715,0.0,0.5848387,0.0,3.254201,0.17606936,0.0,1.8149182,0.0,0.0,0.0,0.0,0.0,0.0,1.7027806,0.0,0.0,1.9175004,0.0,0.0,0.0,2.4793482,4.963675,0.0,2.1583505,0.8124484,4.166362,1.3127503,0.0,1.839177,1.6964487,0.0,1.4000252,2.6730347,1.3392305,0.0,0.0,0.0,1.5926297,0.0,3.0989525,5.6054583,1.2724566,0.0,0.0
norepinephrine,1.448453,1.7812722,4.203871,1.5212557,0.0,1.9697036,1.8820287,2.1030014,3.0690641,0.0,0.0,0.0,1.2404917,3.1275325,0.0,0.0,1.2088574,3.1639168,3.3472521,1.218717,0.0,0.0,0.0,1.3540077,0.0,1.0430286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2433488,0.0,0.0,0.82416546,0.0,0.0,0.0,0.7933278,1.4841682,0.0,1.9784358,0.0,0.82277,0.024522446,0.0,2.032092,2.9620514,0.0,0.5576847,1.0422634,0.93630266,0.0,0.0,0.0,0.55547863,0.0,0.4388606,2.2638054,1.5604883,0.0,0.0
norfloxacin,1.3566772,3.053828,3.6539466,3.3477237,0.0,3.9737227,2.3201303,2.4487083,3.830468,1.1574575,0.0,0.98812443,2.558202,3.8253918,0.0,0.0,3.9692452,4.7927675,4.394055,2.2753327,0.0,0.0,0.0,3.072822,0.0,0.0,1.3805981,0.0,0.0,0.0,0.0,0.0,0.0,1.8614005,0.0,0.0,2.0005205,0.0,0.0,0.0,2.2618198,4.6274695,0.0,2.2809458,0.105095595,3.837065,0.925671,0.0,2.1619685,2.3470824,0.0,0.9253573,2.7174475,1.049546,0.0,0.0,0.0,1.5774561,0.0,2.8131874,5.4256124,1.3658024,0.0,0.0
ouabain,0.0,2.07477,0.5458903,2.0792475,0.17576036,1.6718398,1.0895077,0.0,2.5581107,2.285899,0.0,2.373354,1.4019203,2.6243074,0.0,0.0,3.5694747,2.585495,1.7000618,0.68142885,0.0,2.3437557,0.0,2.5619254,0.63530695,0.0,2.1362343,0.0,0.0,0.0,0.0,0.0,0.0,0.8530977,0.0,0.0,0.8823116,0.0,0.0,0.0,2.3063593,3.8850203,0.0,1.3805408,2.399751,3.4185941,2.2256482,0.0,0.6620813,0.0,0.0,2.4024746,1.4050676,2.3473978,0.0,0.0,0.0,1.140807,0.0,2.7545075,4.270106,0.9408744,0.0,0.0
